Date,Open,High,Low,Close,Adj Close,Volume
1994-11-17,1.125000,1.125000,1.125000,1.125000,1.125000,2100
1994-11-18,1.125000,1.125000,1.125000,1.125000,1.125000,0
1994-11-21,1.125000,1.125000,1.125000,1.125000,1.125000,0
1994-11-22,1.125000,1.125000,1.125000,1.125000,1.125000,0
1994-11-23,2.000000,2.000000,2.000000,2.000000,2.000000,1000
1994-11-25,2.000000,2.000000,2.000000,2.000000,2.000000,0
1994-11-28,2.000000,2.000000,2.000000,2.000000,2.000000,0
1994-11-29,2.000000,2.000000,2.000000,2.000000,2.000000,0
1994-11-30,2.000000,2.000000,2.000000,2.000000,2.000000,0
1994-12-01,2.000000,2.000000,2.000000,2.000000,2.000000,0
1994-12-02,2.000000,2.000000,2.000000,2.000000,2.000000,0
1994-12-05,2.000000,2.000000,2.000000,2.000000,2.000000,0
1994-12-06,2.000000,2.000000,2.000000,2.000000,2.000000,0
1994-12-07,2.000000,2.000000,2.000000,2.000000,2.000000,0
1994-12-08,2.000000,2.000000,2.000000,2.000000,2.000000,0
1994-12-09,2.500000,3.125000,2.500000,3.125000,3.125000,6800
1994-12-12,3.125000,3.125000,3.125000,3.125000,3.125000,0
1994-12-13,3.125000,3.125000,3.125000,3.125000,3.125000,0
1994-12-14,3.125000,3.125000,3.125000,3.125000,3.125000,0
1994-12-15,4.000000,4.000000,3.750000,3.750000,3.750000,3300
1994-12-16,2.750000,2.750000,2.750000,2.750000,2.750000,500
1994-12-19,2.750000,2.750000,2.750000,2.750000,2.750000,200
1994-12-20,2.750000,2.750000,2.750000,2.750000,2.750000,5000
1994-12-21,2.750000,2.750000,2.750000,2.750000,2.750000,0
1994-12-22,3.000000,3.000000,3.000000,3.000000,3.000000,1600
1994-12-23,3.000000,3.000000,3.000000,3.000000,3.000000,0
1994-12-27,3.000000,3.000000,3.000000,3.000000,3.000000,0
1994-12-28,3.000000,3.000000,3.000000,3.000000,3.000000,0
1994-12-29,3.000000,3.000000,3.000000,3.000000,3.000000,0
1994-12-30,3.000000,3.000000,3.000000,3.000000,3.000000,0
1995-01-03,3.125000,3.125000,3.125000,3.125000,3.125000,500
1995-01-04,3.125000,3.125000,3.125000,3.125000,3.125000,0
1995-01-05,3.125000,3.125000,3.125000,3.125000,3.125000,0
1995-01-06,3.125000,3.125000,3.125000,3.125000,3.125000,0
1995-01-09,3.125000,3.125000,3.125000,3.125000,3.125000,0
1995-01-10,3.125000,3.125000,3.125000,3.125000,3.125000,0
1995-01-11,3.125000,3.125000,3.125000,3.125000,3.125000,0
1995-01-12,3.500000,3.500000,3.500000,3.500000,3.500000,1500
1995-01-13,3.375000,3.375000,3.375000,3.375000,3.375000,600
1995-01-16,3.375000,3.375000,3.375000,3.375000,3.375000,0
1995-01-17,3.375000,3.375000,3.375000,3.375000,3.375000,0
1995-01-18,3.375000,3.375000,3.375000,3.375000,3.375000,2000
1995-01-19,3.500000,3.500000,2.625000,3.125000,3.125000,15000
1995-01-20,3.000000,3.062500,2.937500,3.062500,3.062500,5500
1995-01-23,3.062500,3.062500,3.062500,3.062500,3.062500,0
1995-01-24,3.062500,3.062500,3.062500,3.062500,3.062500,0
1995-01-25,3.062500,3.062500,3.062500,3.062500,3.062500,0
1995-01-26,3.062500,3.062500,3.062500,3.062500,3.062500,0
1995-01-27,3.000000,3.000000,3.000000,3.000000,3.000000,300
